time,ID,x,y,SEQ,SPEED,ID,time,distance
8.7,2,-82.84648,34.677125,86,13.070325,1,8.6,0.508738227
8.7,5,-82.844265,34.683556,86,9.39232,4,8.6,0.000893987
8.7,6,-82.84513,34.682774,86,7.588025,5,8.6,0.000738459
8.7,7,-82.845415,34.681545,86,5.273012,6,8.6,0.00055466
8.7,8,-82.846763,34.677423,86,3.354987,7,8.6,0.000425787
8.7,9,-82.844993,34.679383,86,1.3778,8,8.6,9.49E-05
8.8,1,-82.846953,34.681368,87,13.819765,0,8.7,0.001375591
8.8,2,-82.847979,34.681531,87,15.532512,1,8.7,0.509923979
8.8,2,-82.846471,34.677116,87,13.250242,1,8.7,0.508375863
8.8,5,-82.844264,34.683548,87,9.539059,4,8.7,0.001000205
8.8,6,-82.845122,34.682775,87,7.765411,5,8.7,0.000822484
8.8,7,-82.845421,34.681544,87,5.437776,6,8.7,0.000546475
8.8,8,-82.84676,34.67742,87,3.614317,7,8.7,0.000372329
8.8,9,-82.844993,34.679382,87,1.610849,8,8.7,0.000226182
8.9,1,-82.846938,34.681369,88,13.874492,0,8.8,0.001388633
8.9,2,-82.847977,34.681517,88,15.77348,1,8.8,0.509669411
8.9,2,-82.846462,34.677106,88,13.436117,1,8.8,0.508146543
8.9,5,-82.844264,34.683539,88,9.700086,4,8.8,0.001000205
8.9,6,-82.845113,34.682775,88,7.915541,5,8.8,0.000822484
8.9,7,-82.845427,34.681544,88,5.592219,6,8.8,0.00055466
8.9,8,-82.846758,34.677417,88,3.872457,7,8.8,0.000425787
8.9,9,-82.844992,34.67938,88,1.867117,8,8.8,0.000212282
9,1,-82.846923,34.681371,89,13.806249,0,8.9,0.001375591
9,2,-82.847976,34.681503,89,16.026661,1,8.9,0.509440884
9,2,-82.846453,34.677096,89,13.569858,1,8.9,0.507786578
9,5,-82.844264,34.68353,89,9.872471,4,8.9,0.001003247
9,6,-82.845104,34.682775,89,8.157376,5,8.9,0.000822484
9,7,-82.845433,34.681543,89,5.754626,6,8.9,0.000646027
9,8,-82.846755,34.677414,89,4.008875,7,8.9,0.000425787
9,9,-82.844992,34.679378,89,2.070892,8,8.9,0.000212282
